Date,count,pos,neg
2014-01-02,2,2,0
2014-01-03,2,2,0
2014-01-06,4,2,2
2014-01-07,4,2,2
2014-01-08,6,5,1
2014-01-09,4,4,0
2014-01-10,2,1,1
2014-01-13,6,3,3
2014-01-14,2,1,1
2014-01-15,3,2,1
2014-01-16,2,1,1
2014-01-17,1,1,0
2014-01-20,3,3,0
2014-01-21,3,3,0
2014-01-22,4,2,2
2014-01-23,2,2,0
2014-01-27,9,8,1
2014-01-28,1,1,0
2014-01-29,3,1,2
2014-02-04,1,1,0
2014-02-05,1,1,0
2014-02-06,1,0,1
2014-02-07,2,1,1
2014-02-10,3,1,2
2014-02-11,1,1,0
2014-02-12,2,2,0
2014-02-13,2,2,0
2014-02-14,2,1,1
2014-02-17,2,0,2
2014-02-19,1,1,0
2014-02-20,1,1,0
2014-02-21,1,0,1
2014-02-24,4,4,0
2014-02-25,2,1,1
2014-02-26,3,1,2
2014-02-27,2,1,1
2014-02-28,3,2,1
2014-03-03,6,5,1
2014-03-04,2,2,0
2014-03-05,1,1,0
2014-03-07,3,1,2
2014-03-10,4,3,1
2014-03-11,1,1,0
2014-03-12,1,1,0
2014-03-13,2,1,1
2014-03-14,1,0,1
2014-03-17,2,1,1
2014-03-19,4,4,0
2014-03-20,1,1,0
2014-03-21,2,2,0
2014-03-24,1,0,1
2014-03-25,1,0,1
2014-03-26,3,2,1
2014-03-27,2,0,2
2014-03-28,1,0,1
2014-03-31,5,5,0
2014-04-01,3,2,1
2014-04-02,1,1,0
2014-04-03,1,1,0
2014-04-04,3,2,1
2014-04-07,1,1,0
2014-04-08,1,0,1
2014-04-09,3,2,1
2014-04-10,3,2,1
2014-04-11,1,1,0
2014-04-14,5,3,2
2014-04-15,3,3,0
2014-04-16,1,0,1
2014-04-21,2,1,1
2014-04-22,1,1,0
2014-04-24,2,1,1
2014-04-28,6,4,2
2014-04-30,1,1,0
2014-05-02,5,4,1
2014-05-07,5,1,4
2014-05-08,3,3,0
2014-05-09,2,2,0
2014-05-12,2,0,2
2014-05-13,2,1,1
2014-05-14,3,1,2
2014-05-15,3,2,1
2014-05-16,1,1,0
2014-05-19,5,4,1
2014-05-20,4,3,1
2014-05-21,2,1,1
2014-05-22,1,1,0
2014-05-23,4,3,1
2014-05-26,1,1,0
2014-05-27,2,2,0
2014-05-28,2,1,1
2014-05-29,2,0,2
2014-05-30,1,1,0
2014-06-02,4,3,1
2014-06-03,5,5,0
2014-06-05,2,2,0
2014-06-09,4,3,1
2014-06-10,3,2,1
2014-06-11,2,1,1
2014-06-12,1,1,0
2014-06-13,4,3,1
2014-06-16,5,4,1
2014-06-17,2,0,2
2014-06-18,1,1,0
2014-06-19,4,4,0
2014-06-23,9,5,4
2014-06-24,1,0,1
2014-06-25,5,4,1
2014-06-26,6,5,1
2014-06-27,1,0,1
2014-06-30,3,1,2
2014-07-01,4,2,2
2014-07-02,3,2,1
2014-07-03,2,1,1
2014-07-04,3,2,1
2014-07-07,4,2,2
2014-07-08,4,1,3
2014-07-09,3,1,2
2014-07-10,2,0,2
2014-07-11,1,1,0
2014-07-14,3,0,3
2014-07-15,4,0,4
2014-07-16,3,3,0
2014-07-17,3,3,0
2014-07-18,1,0,1
2014-07-21,5,4,1
2014-07-22,1,1,0
2014-07-23,2,2,0
2014-07-24,2,2,0
2014-07-28,4,4,0
2014-07-29,1,1,0
2014-07-30,2,0,2
2014-07-31,2,0,2
2014-08-01,2,0,2
2014-08-04,7,3,4
2014-08-05,4,2,2
2014-08-06,6,2,4
2014-08-07,2,0,2
2014-08-08,4,2,2
2014-08-11,1,1,0
2014-08-12,1,1,0
2014-08-13,1,1,0
2014-08-14,2,2,0
2014-08-18,6,4,2
2014-08-19,2,1,1
2014-08-20,2,2,0
2014-08-21,3,1,2
2014-08-22,3,2,1
2014-08-25,6,4,2
2014-08-26,2,1,1
2014-08-28,4,3,1
2014-08-29,2,1,1
2014-09-01,5,5,0
2014-09-02,3,2,1
2014-09-03,2,2,0
2014-09-04,5,3,2
2014-09-05,4,4,0
2014-09-11,9,7,2
2014-09-12,3,1,2
2014-09-15,7,3,4
2014-09-16,3,3,0
2014-09-17,2,1,1
2014-09-18,4,2,2
2014-09-22,4,2,2
2014-09-23,2,1,1
2014-09-24,2,2,0
2014-09-25,1,1,0
2014-09-26,4,3,1
2014-09-29,5,4,1
2014-09-30,2,1,1
2014-10-01,3,2,1
2014-10-02,3,1,2
2014-10-06,7,3,4
2014-10-08,3,1,2
2014-10-10,3,1,2
2014-10-13,7,4,3
2014-10-14,2,2,0
2014-10-15,5,3,2
2014-10-16,4,3,1
2014-10-17,4,1,3
2014-10-20,4,3,1
2014-10-22,4,3,1
2014-10-23,2,2,0
2014-10-24,1,1,0
2014-10-27,3,3,0
2014-10-28,1,1,0
2014-10-29,1,1,0
2014-10-30,2,1,1
2014-10-31,2,1,1
2014-11-03,7,3,4
2014-11-04,4,1,3
2014-11-05,3,1,2
2014-11-06,3,2,1
2014-11-07,1,1,0
2014-11-10,7,7,0
2014-11-11,2,2,0
2014-11-12,3,3,0
2014-11-13,3,3,0
2014-11-14,2,1,1
2014-11-17,4,3,1
2014-11-18,5,3,2
2014-11-19,2,0,2
2014-11-21,2,0,2
2014-11-24,5,3,2
2014-11-25,1,1,0
2014-11-26,6,5,1
2014-11-27,4,4,0
2014-11-28,1,1,0
2014-12-01,1,1,0
2014-12-02,2,1,1
2014-12-03,2,1,1
2014-12-04,2,1,1
2014-12-05,2,1,1
2014-12-08,2,2,0
2014-12-09,2,2,0
2014-12-10,3,2,1
2014-12-11,1,1,0
2014-12-12,1,1,0
2014-12-15,4,4,0
2014-12-16,1,1,0
2014-12-17,1,0,1
2014-12-18,4,4,0
2014-12-19,2,1,1
2014-12-22,7,6,1
2014-12-23,1,1,0
2014-12-26,2,1,1
2014-12-29,6,6,0
2014-12-30,4,2,2
2015-01-02,7,5,2
2015-01-05,2,1,1
2015-01-06,2,1,1
2015-01-07,4,3,1
2015-01-08,3,2,1
2015-01-09,3,3,0
2015-01-12,6,3,3
2015-01-13,1,1,0
2015-01-14,1,1,0
2015-01-15,4,1,3
2015-01-16,2,0,2
2015-01-19,3,3,0
2015-01-20,2,1,1
2015-01-21,3,3,0
2015-01-22,2,1,1
2015-01-23,1,1,0
2015-01-26,4,2,2
2015-01-27,1,1,0
2015-01-28,3,2,1
2015-01-29,1,0,1
2015-01-30,1,1,0
2015-02-02,4,3,1
2015-02-03,4,3,1
2015-02-04,3,3,0
2015-02-05,2,1,1
2015-02-09,7,6,1
2015-02-10,6,4,2
2015-02-11,1,1,0
2015-02-13,3,2,1
2015-02-16,5,2,3
2015-02-17,2,0,2
2015-02-23,5,3,2
2015-02-24,5,4,1
2015-02-25,4,3,1
2015-02-26,3,3,0
2015-02-27,2,1,1
2015-03-02,9,8,1
2015-03-03,2,2,0
2015-03-04,5,4,1
2015-03-05,2,2,0
2015-03-06,1,1,0
2015-03-09,8,7,1
2015-03-10,1,1,0
2015-03-11,2,2,0
2015-03-12,1,1,0
2015-03-13,2,1,1
2015-03-16,6,4,2
2015-03-17,4,4,0
2015-03-19,1,1,0
2015-03-20,1,0,1
2015-03-23,3,3,0
2015-03-24,4,4,0
2015-03-25,2,2,0
2015-03-26,2,1,1
2015-03-30,3,2,1
2015-03-31,3,3,0
2015-04-01,4,4,0
2015-04-02,5,4,1
2015-04-03,1,1,0
2015-04-06,6,4,2
2015-04-07,3,3,0
2015-04-08,6,4,2
2015-04-09,2,2,0
2015-04-10,3,3,0
2015-04-13,6,5,1
2015-04-14,3,2,1
2015-04-15,2,2,0
2015-04-16,1,1,0
2015-04-20,6,5,1
2015-04-21,1,0,1
2015-04-22,3,2,1
2015-04-23,1,1,0
2015-04-24,2,2,0
2015-04-27,5,4,1
2015-04-28,2,2,0
2015-04-29,6,3,3
2015-04-30,1,1,0
2015-05-04,5,4,1
2015-05-06,2,1,1
2015-05-07,2,2,0
2015-05-08,2,0,2
2015-05-11,3,3,0
2015-05-13,3,3,0
2015-05-14,2,2,0
2015-05-15,2,1,1
2015-05-18,7,6,1
2015-05-19,3,3,0
2015-05-22,3,3,0
2015-05-26,3,2,1
2015-05-27,2,2,0
2015-06-01,7,5,2
2015-06-02,3,2,1
2015-06-03,3,2,1
2015-06-04,1,1,0
2015-06-05,2,0,2
2015-06-08,2,1,1
2015-06-09,2,1,1
2015-06-10,1,1,0
2015-06-11,2,2,0
2015-06-12,1,1,0
2015-06-15,7,5,2
2015-06-16,2,0,2
2015-06-17,3,3,0
2015-06-18,1,1,0
2015-06-19,1,1,0
2015-06-22,2,2,0
2015-06-24,3,2,1
2015-06-25,2,2,0
2015-06-26,1,0,1
2015-06-29,4,4,0
2015-06-30,3,2,1
2015-07-02,1,1,0
2015-07-06,2,1,1
2015-07-07,2,1,1
2015-07-08,2,2,0
2015-07-09,2,2,0
2015-07-10,1,1,0
2015-07-13,3,2,1
2015-07-14,3,1,2
2015-07-16,3,2,1
2015-07-17,2,1,1
2015-07-20,3,2,1
2015-07-21,1,0,1
2015-07-22,1,1,0
2015-07-23,4,3,1
2015-07-24,1,1,0
2015-07-27,3,1,2
2015-07-28,2,1,1
2015-07-29,6,2,4
2015-07-30,6,2,4
2015-07-31,1,1,0
2015-08-03,5,2,3
2015-08-04,2,2,0
2015-08-05,2,1,1
2015-08-07,1,1,0
2015-08-10,2,1,1
2015-08-11,1,1,0
2015-08-12,1,0,1
2015-08-13,3,3,0
2015-08-17,9,8,1
2015-08-18,2,1,1
2015-08-20,3,2,1
2015-08-21,2,2,0
2015-08-24,6,5,1
2015-08-25,2,2,0
2015-08-26,1,1,0
2015-08-28,1,1,0
2015-08-31,4,4,0
2015-09-01,2,1,1
2015-09-02,3,2,1
2015-09-03,1,0,1
2015-09-04,4,2,2
